variantID,displayName,turnIntensity,accelerationIntensity,verticalStatus,updateInterval,pairCount,trackCount,aircraftCount,sessionCount,occupied
legacy_pre3day_v1,Legacy-16,>=3,>=1,descent,15-30,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,<0.5,<0.1,level,15-30,18,15,15,8,1
legacy_pre3day_v1,Legacy-16,0.5-1,<0.1,level,15-30,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,1-3,<0.1,level,15-30,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,>=3,<0.1,level,15-30,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,<0.5,0.1-0.5,level,15-30,4,4,4,3,1
legacy_pre3day_v1,Legacy-16,0.5-1,0.1-0.5,level,15-30,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,1-3,0.1-0.5,level,15-30,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,>=3,0.1-0.5,level,15-30,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,<0.5,0.5-1,level,15-30,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,0.5-1,0.5-1,level,15-30,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,1-3,0.5-1,level,15-30,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,>=3,0.5-1,level,15-30,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,<0.5,>=1,level,15-30,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,0.5-1,>=1,level,15-30,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,1-3,>=1,level,15-30,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,>=3,>=1,level,15-30,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,<0.5,<0.1,climb,15-30,9,8,8,8,1
legacy_pre3day_v1,Legacy-16,0.5-1,<0.1,climb,15-30,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,1-3,<0.1,climb,15-30,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,>=3,<0.1,climb,15-30,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,<0.5,0.1-0.5,climb,15-30,2,2,2,2,1
legacy_pre3day_v1,Legacy-16,0.5-1,0.1-0.5,climb,15-30,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,1-3,0.1-0.5,climb,15-30,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,>=3,0.1-0.5,climb,15-30,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,<0.5,0.5-1,climb,15-30,1,1,1,1,1
legacy_pre3day_v1,Legacy-16,0.5-1,0.5-1,climb,15-30,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,1-3,0.5-1,climb,15-30,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,>=3,0.5-1,climb,15-30,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,<0.5,>=1,climb,15-30,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,0.5-1,>=1,climb,15-30,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,1-3,>=1,climb,15-30,0,0,0,0,0
legacy_pre3day_v1,Legacy-16,>=3,>=1,climb,15-30,0,0,0,0,0
campaign_3day_increment_v1,3-Day Campaign Increment,<0.5,<0.1,descent,<0.75,50264,759,604,124,1
campaign_3day_increment_v1,3-Day Campaign Increment,0.5-1,<0.1,descent,<0.75,790,302,267,107,1
campaign_3day_increment_v1,3-Day Campaign Increment,1-3,<0.1,descent,<0.75,1747,390,329,113,1
campaign_3day_increment_v1,3-Day Campaign Increment,>=3,<0.1,descent,<0.75,201,56,51,40,1
campaign_3day_increment_v1,3-Day Campaign Increment,<0.5,0.1-0.5,descent,<0.75,11431,657,525,125,1
campaign_3day_increment_v1,3-Day Campaign Increment,0.5-1,0.1-0.5,descent,<0.75,926,339,286,108,1
campaign_3day_increment_v1,3-Day Campaign Increment,1-3,0.1-0.5,descent,<0.75,409,162,143,78,1
campaign_3day_increment_v1,3-Day Campaign Increment,>=3,0.1-0.5,descent,<0.75,50,25,24,19,1
campaign_3day_increment_v1,3-Day Campaign Increment,<0.5,0.5-1,descent,<0.75,8922,588,479,123,1
campaign_3day_increment_v1,3-Day Campaign Increment,0.5-1,0.5-1,descent,<0.75,250,154,140,87,1
