domain,profile,comparisonFamily,modelID,weighting,caseID,targetReference,sampleCount,eventCount,positionRMSEMeters,positionMedianErrorMeters,positionP95ErrorMeters,velocityRMSEMetersPerSecond,velocityMedianErrorMetersPerSecond,velocityP95ErrorMetersPerSecond
synthetic_out_of_distribution,degraded,causal_history,constvel,independent_event_weighted,all,latent_kinematic_truth,18574,50,294.758642026024,59.1306833004351,182.36545139111,58.1546897255445,6.42034825338674,106.419663519902
synthetic_out_of_distribution,degraded,causal_history,constacc,pair_weighted,all,latent_kinematic_truth,18574,50,305.225999848511,58.1352053611051,153.068962876983,57.7231135223224,7.95187137384019,68.0517790562334
synthetic_out_of_distribution,degraded,causal_history,constacc,independent_event_weighted,all,latent_kinematic_truth,18574,50,306.720775548594,58.1734891896668,154.090307777851,57.9971746474502,7.94002296662882,68.1968207053419
synthetic_out_of_distribution,degraded,causal_history,constturn,pair_weighted,all,latent_kinematic_truth,18574,50,223.793424064347,57.2782460315357,131.026180869093,42.6957993966922,6.01572554141723,48.9467264446999
synthetic_out_of_distribution,degraded,causal_history,constturn,independent_event_weighted,all,latent_kinematic_truth,18574,50,224.383107143888,57.3062508601203,131.364057572075,42.8390519249835,6.01637180607075,49.4161083700187
real_adsb,baseline,same_information,expanded_warm_mean_v1,pair_weighted,all,next_retained_adsb_observation,93524,887,27.469077219258,9.95098480980998,29.2569741522989,3.45315587854865,0.232783340493397,2.32991836166863
real_adsb,baseline,same_information,expanded_warm_mean_v1,independent_event_weighted,all,next_retained_adsb_observation,93524,887,69.7603046435372,12.4395222369221,67.2706626110297,9.42726397433339,0.347828193097041,5.15502502235338
real_adsb,baseline,same_information,constvel,pair_weighted,all,next_retained_adsb_observation,93524,887,23.3028475335465,6.00390543504825,19.8956980406383,3.46727539825498,0.174698457107171,2.22256722451447
real_adsb,baseline,same_information,constvel,independent_event_weighted,all,next_retained_adsb_observation,93524,887,64.6508507384166,7.20947847018216,36.9254340959568,9.47360145715455,0.262177968913301,4.54168293397476
real_adsb,baseline,causal_history,expanded_warm_mean_v1,pair_weighted,all,next_retained_adsb_observation,92637,836,26.854334755323,9.92171969843455,28.8990653990165,3.4402354804192,0.231227312979731,2.2926326498154
real_adsb,baseline,causal_history,expanded_warm_mean_v1,independent_event_weighted,all,next_retained_adsb_observation,92637,836,72.3145047337149,12.1079425410139,59.2409506589847,10.9706055004805,0.329137343071472,4.5709362462552
real_adsb,baseline,causal_history,constvel,pair_weighted,all,next_retained_adsb_observation,92637,836,22.7300820131981,5.9924423008281,19.6480166870817,3.45602244750232,0.173471886136885,2.19115799935724
real_adsb,baseline,causal_history,constvel,independent_event_weighted,all,next_retained_adsb_observation,92637,836,67.6249758327062,7.03149083820092,31.7691159231589,11.0334863900583,0.253871060583388,3.98641731859714
real_adsb,baseline,causal_history,constacc,pair_weighted,all,next_retained_adsb_observation,92637,836,63.2366586038771,5.96922227933297,19.3222538253974,7.9533610831734,0.173494678769558,1.83536944315121
real_adsb,baseline,causal_history,constacc,independent_event_weighted,all,next_retained_adsb_observation,92637,836,199.498602255406,6.96895152446475,29.7559267340696,23.9201353328367,0.184599115385222,2.95717218785329
real_adsb,baseline,causal_history,constturn,pair_weighted,all,next_retained_adsb_observation,92637,836,16.0392496558375,5.97222502166003,19.4034417262807,3.24541434586224,0.180309722465748,1.82065698786092
real_adsb,baseline,causal_history,constturn,independent_event_weighted,all,next_retained_adsb_observation,92637,836,44.4865752373896,6.99052058296549,29.957983264148,8.41691716238095,0.248932460157399,2.99537744536272
real_adsb,random_dropout_10,same_information,expanded_warm_mean_v1,pair_weighted,all,next_retained_adsb_observation,84302,887,28.4190450326825,10.1772864170754,30.763636411678,3.30231205178987,0.253764389835538,2.52985692370817
real_adsb,random_dropout_10,same_information,expanded_warm_mean_v1,independent_event_weighted,all,next_retained_adsb_observation,84302,887,65.637934030928,12.8511376966354,74.7481365846096,5.70906316872721,0.37204433833023,5.5144743453143
real_adsb,random_dropout_10,same_information,constvel,pair_weighted,all,next_retained_adsb_observation,84302,887,23.2949135100595,6.05547704213018,20.6137877012972,3.31599896934408,0.193707055258597,2.39632139119041
real_adsb,random_dropout_10,same_information,constvel,independent_event_weighted,all,next_retained_adsb_observation,84302,887,58.1089251492374,7.3796234581446,39.0026957741307,5.7220155276332,0.282253920299101,4.64622501915119
real_adsb,random_dropout_10,causal_history,expanded_warm_mean_v1,pair_weighted,all,next_retained_adsb_observation,83415,831,27.7362700340216,10.1420882567018,30.3283375390636,3.28368919694611,0.251926822484607,2.48452632658848
real_adsb,random_dropout_10,causal_history,expanded_warm_mean_v1,independent_event_weighted,all,next_retained_adsb_observation,83415,831,65.6137520517189,12.3489922782993,63.521514374726,5.58530308298925,0.353571142585441,4.81278974580913
real_adsb,random_dropout_10,causal_history,constvel,pair_weighted,all,next_retained_adsb_observation,83415,831,22.636540089022,6.03931211654946,20.3635666966583,3.29968386521761,0.191895940117798,2.36667286875867
real_adsb,random_dropout_10,causal_history,constvel,independent_event_weighted,all,next_retained_adsb_observation,83415,831,58.0632086103166,7.13292428159926,34.7404684374208,5.62622960176403,0.271470759099098,4.29945151910963
real_adsb,random_dropout_10,causal_history,constacc,pair_weighted,all,next_retained_adsb_observation,83415,831,49.8194637883209,6.01437583323284,19.9103084968224,7.11337659915631,0.193874533735805,2.04963782592336
real_adsb,random_dropout_10,causal_history,constacc,independent_event_weighted,all,next_retained_adsb_observation,83415,831,149.231334062475,7.07106132362187,31.1116679245668,13.6384767693704,0.205649434225294,3.31948066713511
real_adsb,random_dropout_10,causal_history,constturn,pair_weighted,all,next_retained_adsb_observation,83415,831,17.3008160669641,6.02181517391836,20.000185713716,3.16320153861062,0.20130775397393,2.01543162100469
real_adsb,random_dropout_10,causal_history,constturn,independent_event_weighted,all,next_retained_adsb_observation,83415,831,38.1669910328108,7.10668325304474,32.2832249918332,4.29708066142459,0.268125835957693,3.17811890199126
